,start,end,light,deep,rem,awakening,sj_id
0,2019-04-14 22:46:00,2019-04-15 05:55:30,250.0,63.0,60.0,38.0,4
1,2019-04-15 22:38:00,2019-04-16 05:51:30,205.0,62.0,100.0,30.0,4
2,2019-04-16 22:58:30,2019-04-17 05:59:30,,,,,4
3,2019-04-17 23:20:30,2019-04-18 06:16:30,237.0,53.0,75.0,41.0,4
4,2019-04-18 23:16:30,2019-04-19 08:10:30,247.0,82.0,120.0,45.0,4
5,2019-04-19 09:55:30,2019-04-19 11:11:30,,,,,4
6,2019-04-20 00:49:00,2019-04-20 06:46:30,161.0,85.0,87.0,23.0,4
7,2019-04-21 00:57:00,2019-04-21 09:45:30,276.0,115.0,70.0,35.0,4
8,2019-04-22 02:07:30,2019-04-22 07:53:30,160.0,59.0,83.0,20.0,4
9,2019-04-22 23:46:00,2019-04-23 09:12:00,250.0,114.0,111.0,38.0,4
10,2019-04-23 23:17:00,2019-04-24 05:49:30,204.0,62.0,72.0,36.0,4
11,2019-04-24 22:02:00,2019-04-25 06:06:30,259.0,95.0,70.0,39.0,4
12,2019-04-25 21:59:30,2019-04-26 06:26:30,251.0,94.0,81.0,39.0,4
13,2019-04-26 23:12:00,2019-04-27 07:22:30,255.0,66.0,87.0,23.0,4
14,2019-04-27 22:25:00,2019-04-28 07:43:00,262.0,112.0,116.0,49.0,4
15,2019-04-28 23:09:00,2019-04-29 08:27:30,297.0,88.0,98.0,45.0,4
16,2019-04-29 21:59:00,2019-04-30 05:59:00,241.0,90.0,77.0,55.0,4
17,2019-04-30 22:25:00,2019-05-01 08:00:30,333.0,87.0,73.0,39.0,4
18,2019-05-01 23:12:00,2019-05-02 05:43:30,183.0,60.0,88.0,32.0,4
19,2019-05-02 21:37:30,2019-05-03 06:08:00,263.0,104.0,84.0,35.0,4
20,2019-05-03 23:29:00,2019-05-04 08:42:30,295.0,100.0,86.0,47.0,4
21,2019-05-04 23:32:00,2019-05-05 08:43:30,317.0,78.0,80.0,44.0,4
22,2019-05-05 22:29:00,2019-05-06 05:41:30,246.0,72.0,63.0,34.0,4
23,2019-05-06 21:37:00,2019-05-07 05:44:30,270.0,79.0,66.0,37.0,4
24,2019-05-07 22:18:00,2019-05-08 06:04:30,248.0,53.0,91.0,39.0,4
