,start,end,light,deep,rem,awakening,sj_id
0,2019-05-26 00:07:30,2019-05-26 09:10:30,319.0,51.0,101.0,41.0,3
1,2019-08-14 18:31:00,2019-08-15 00:16:30,,,,,3
2,2019-08-15 08:12:30,2019-08-15 14:39:00,,,,,3
3,2019-09-04 00:07:00,2019-09-04 06:47:00,213.0,51.0,81.0,29.0,3
4,2019-09-06 22:24:00,2019-09-07 09:44:30,427.0,49.0,102.0,53.0,3
5,2019-09-07 21:22:30,2019-09-08 08:48:30,326.0,162.0,108.0,35.0,3
6,2019-09-08 22:16:00,2019-09-09 05:14:00,264.0,40.0,58.0,30.0,3
7,2019-09-09 23:05:00,2019-09-10 05:30:30,243.0,47.0,48.0,34.0,3
8,2019-09-11 20:43:30,2019-09-12 05:37:30,320.0,61.0,74.0,43.0,3
9,2019-09-12 22:04:30,2019-09-13 05:29:30,303.0,37.0,51.0,32.0,3
10,2019-09-13 23:22:00,2019-09-14 07:41:30,274.0,81.0,97.0,39.0,3
11,2019-09-14 14:05:30,2019-09-14 15:48:00,,,,,3
12,2019-09-14 20:51:00,2019-09-14 21:58:30,,,,,3
13,2019-09-15 22:11:00,2019-09-16 05:28:00,259.0,39.0,77.0,32.0,3
14,2019-09-16 21:42:00,2019-09-17 05:37:30,239.0,93.0,82.0,41.0,3
15,2019-09-17 21:39:00,2019-09-18 04:55:00,285.0,31.0,76.0,42.0,3
16,2019-09-19 22:07:00,2019-09-20 05:39:30,303.0,25.0,58.0,36.0,3
17,2019-09-20 22:00:30,2019-09-21 08:47:30,425.0,64.0,76.0,45.0,3
18,2019-09-21 23:07:00,2019-09-22 10:27:00,358.0,124.0,98.0,42.0,3
19,2019-09-22 22:02:30,2019-09-23 05:31:00,236.0,87.0,53.0,33.0,3
20,2019-09-23 22:13:30,2019-09-24 05:44:30,249.0,72.0,69.0,40.0,3
21,2019-09-24 22:34:30,2019-09-25 05:39:30,272.0,44.0,54.0,32.0,3
22,2019-10-01 22:15:00,2019-10-02 05:45:30,299.0,34.0,55.0,32.0,3
23,2019-10-02 21:57:30,2019-10-03 06:48:30,335.0,70.0,65.0,44.0,3
24,2019-10-03 22:01:00,2019-10-04 06:38:00,281.0,83.0,79.0,46.0,3
25,2019-10-05 00:48:30,2019-10-05 10:01:30,321.0,71.0,75.0,31.0,3
26,2019-10-05 21:20:30,2019-10-06 08:21:30,357.0,92.0,118.0,44.0,3
27,2019-10-07 20:34:00,2019-10-08 05:39:00,300.0,98.0,78.0,42.0,3
